propertyId,propertyItemId,propertyParcelNumber,propertyAddress,propertyFaceValue,currentBidStatus,currentBidAmount,currentBidRequired,bid,bidType
560914e4d4c68c50bf9e1469,028110, 61-274-01-004,12139 CIRCLE DR,$579.84,Bids,624,625,,PTW
560914e5d4c68c50bf9e18e9,028124, 61-231-00-008,26479 PLEASANT PARK RD,$36.63,Bids,40.63,41.63,,PTW
560914e4d4c68c50bf9e146a,028236, 49-203-06-098,13111 W MONTANA AVE,$969.04,Bids,1043,1044,,PTW
560914e4d4c68c50bf9e146b,028379, 59-361-08-016,5877 W ELMHURST AVE,"$12,499.28",Bids,13438,13439,,PTW
560914e4d4c68c50bf9e146c,028388, 39-363-05-063,1820 NEWLAND CT,$280.90,Bids,302,303,,PTW
560914e5d4c68c50bf9e17bf,028399, 61-114-06-003,26698 DE BERRY ST,$103.52,Bids,103.52,104.52,,PTW
560914e4d4c68c50bf9e146d,028444, 61-144-00-033,26349 PLEASANT PARK RD,$302.67,Bids,313,314,,PTW
560914e5d4c68c50bf9e17c0,028466, 61-122-06-005,25846 STANSBERY ST,$103.52,Bids,106.52,107.52,,PTW
560914e5d4c68c50bf9e17c1,028558, 32-361-94-001,0 VACANT LAND ,$78.22,Bids,78.22,79.22,,PTW
560914e4d4c68c50bf9e146e,028629, 29-304-01-012,13805 W 82ND AVE,"$2,192.80",Bids,2358,2359,,PTW
560914e4d4c68c50bf9e146f,028696, 20-254-00-002,8333 INDIANA ST,"$4,442.33",Bids,4777,4778,,PTW
560914e5d4c68c50bf9e18ea,028968, 40-073-01-100,0 VACANT LAND ,$37.59,Bids,37.59,38.59,,PTW
560914e4d4c68c50bf9e1470,029029, 40-083-04-007,22454 HILLCREST CIR,"$6,027.67",Bids,6481,6482,,PTW
560914e5d4c68c50bf9e18eb,029161, 40-072-01-038,0 VACANT LAND ,$37.59,Bids,37.59,38.59,,PTW
560914e4d4c68c50bf9e1471,029279, 41-122-01-010,729 KINNIKINNIK HILL ,"$3,762.94",Bids,4046,4047,,PTW
560914e4d4c68c50bf9e1472,029477, 39-113-26-007,5665 WADSWORTH BLVD,"$4,600.99",Bids,4947,4948,,PTW
